"Characteristic","CPRD_Aurum"
"Number of patients",88540
"Sex: male",48819
"Age, median",73
"Age groups, years",NA
"18-29",45
"30-39",274
"40-49",1880
"50-59",8981
"60-69",23278
"70-79",31897
"80-89",19488
"90+",2697
"Prior history, days, median",6775
"General conditions (any time prior)",NA
"Atrial fibrillation",7056
"Cerebrovascular disease",8298
"Chronic liver disease",530
"Chronic obstructive lung disease",23599
"Coronary arteriosclerosis",1261
"Crohn's disease",346
"Dementia",1656
"Depressive disorder",12974
"Diabetes mellitus",12822
"Gastroesophageal reflux disease",3058
"Gastrointestinal haemorrhage",6691
"Heart disease",24166
"Heart failure",4276
"Hepatitis C",126
"HIV",23
"Hyperlipidemia",10449
"Hypertensive disorder",35469
"Ischemic heart disease",14929
"Lesion of liver",1556
"Obesity",2403
"Osteoarthritis",25083
"Peripheral vascular disease",4932
"Pneumonia",6741
"Psoriasis",3740
"Pulmonary embolism",1923
"Renal impairment",13373
"Rheumatoid arthritis",2104
"Schizophrenia",420
"Ulcerative colitis",472
"Urinary tract infectious disease",12018
"Venous thrombosis",5252
"Visual system disorder",36552
