Country,Exports,Imports,Balance,Tarriff_Est
European Union,370189.2,605760.4,-235571.2,0.19444255517528053
"World, Seasonally Adjusted",2065131.1,3267460.6,-1202329.5,0.183985309570374
Advanced Technology Products,464290.8,763239.1,-298948.2,0.19584177487762355
South and Central America,206144.2,158813.1,47331.1,0.149015100139724
North America,683401.3,918546.3,-235145,0.12799844711148473
Europe,503629.1,770791,-267162,0.17330378792694778
Africa,32125.8,39515,-7389.2,0.09349867139061116
Pacific Rim,491850.7,1001672.3,-509821.6,0.25448522435930393
"World, Not Seasonally Adjusted",2065131.1,3267460.6,-1202329.5,0.183985309570374
Asia,600281.7,1356911.6,-756629.8,0.27880585588626405
CAFTA-DR,47028.1,36626.3,10401.7,0.14199769018437572
Australia and Oceania,39742.7,22775.7,16967,0.37248031893641026
Sub Saharan Africa,18649.4,29956.6,-11307.2,0.18872635746379765
USMCA with Mexico (Consump),0,249731.8,-249731.8,0.5
USMCA with Canada (Consump),98484.1,156943,-58458.9,0.18624245745270576
Greenland,48.4,32.6,15.8,0.24233128834355827
Canada,349359.9,412695.7,-63335.8,0.07673426207251494
St Pierre and Miquelon,0.1,3.4,-3.4,0.5
Mexico,334041.4,505850.6,-171809.2,0.16982207790205253
Guatemala,9714.8,5019.9,4694.9,0.4676288372278332
Belize,590.4,81.1,509.3,3.1399506781750928
El Salvador,4556.4,2311.2,2245.1,0.48570006922810666
Honduras,7057.5,5532.6,1524.9,0.13781043270794924
Nicaragua,2941,4622.3,-1681.3,0.18186833394630378
Costa Rica,9676.8,11634.9,-1958.1,0.08414769357708274
Panama,10702.1,555.8,10146.3,9.127653832313783
Bermuda,540.4,23.3,517.1,11.09656652360515
Bahamas,5639.7,1792.4,3847.4,1.0732537380049096
Cuba,586.5,4.9,581.6,59.3469387755102
Jamaica,2644.1,361.4,2282.8,3.1582733812949644
Turks and Caicos Islands,713.6,11,702.6,31.936363636363637
Cayman Islands,1286.5,49.4,1237.1,12.521255060728745
Haiti,1214.4,616.8,597.7,0.4845168612191959
Dominican Republic,13081.7,7505.4,5576.2,0.3714792016414848
Anguilla,72.5,1.2,71.3,29.708333333333332
British Virgin Islands,312.9,60.2,252.7,2.0988372093023253
St Kitts and Nevis,160.2,19.6,140.6,3.5867346938775504
Antigua and Barbuda,573.8,23.8,550,11.554621848739496
Montserrat,12.1,5.6,6.4,0.5714285714285715
Dominica,58.8,2.3,56.5,12.282608695652176
St Lucia,1043.6,7,1036.6,74.04285714285713
St Vincent and the Grenadines,143.2,8.3,135,8.132530120481928
Grenada,165.3,14.1,151.3,5.365248226950355
Barbados,772.6,48.6,724,7.448559670781893
Trinidad and Tobago,2939.7,3325.9,-386.2,0.058059472623951405
Sint Maarten,753.9,101.5,652.4,3.2137931034482756
Curacao,823.5,31.9,791.6,12.407523510971787
Aruba,725.5,10.7,714.8,33.401869158878505
Guadeloupe,470.6,3.4,467.2,68.70588235294117
Martinique,199.2,2.8,196.4,35.07142857142858
Colombia,19037.6,17690.3,1347.3,0.03808019083904739
Venezuela,4232,5987.9,-1755.8,0.14661233487533193
Guyana,1314.9,5375.5,-4060.6,0.37769509813040647
Suriname,383.5,90.9,292.6,1.6094609460946094
French Guiana,29,1.8,27.2,7.555555555555555
Ecuador,7531.7,8524.3,-992.7,0.05822765505672021
Peru,11223.8,9363.2,1860.6,0.09935705741626794
Bolivia,401,504.1,-103.1,0.10226145606030548
Chile,18167.8,16469.5,1698.3,0.05155894228725826
Brazil,49667,42316.3,7350.7,0.08685423820135503
Paraguay,3158.4,356.2,2802.3,3.9336047164514323
Uruguay,1649,1228.8,420.2,0.17097981770833334
Argentina,9171,7092.2,2078.8,0.14655537068892588
Falkland Islands(Islas Malvin,4.1,22.8,-18.7,0.4100877192982456
Iceland,985.8,1072.6,-86.8,0.04046242774566474
Sweden,8187.3,17995.7,-9808.4,0.2725206577126758
"Svalbard, Jan Mayen Island",0.4,0,0.4,Inf
Norway,4592,6583.3,-1991.3,0.15123874044931873
Finland,2564.1,8029.5,-5465.4,0.34033252381841955
Faroe Islands,1.4,249.5,-248.1,0.4971943887775551
Denmark,5807.8,10040.4,-4232.7,0.21078343492291143
United Kingdom,79941.3,68084.5,11856.9,0.08707488488569351
Ireland,16538,103286.3,-86748.2,0.41994049549649853
Netherlands,89648.8,34132.8,55516,0.8132353630525476
Belgium,34177.9,27849.9,6328.1,0.11361082086470688
Luxembourg,1136.9,698.6,438.3,0.31369882622387635
